_id,mname,tag,mlength,releaseday,isSequel,type,region,distributor,boxoffice_tot,boxoffice_pm,boxoffice_1std,boxoffice_1stw,boxoffice_1stwk
654136,闪光少女,喜剧 音乐,103,2017/7/20,0,2D,中国,安乐影业 淘票票 联瑞影业,64900000,9910000,6030000,25400000,11700000
657204,父子雄兵,喜剧 亲情,105,2017/7/21,0,2D,中国,霍尔果斯五洲电影发行 华夏,125000000,6620000,26500000,78200000,51500000
644456,阿唐奇遇,动画 冒险,99,2017/7/21,0,3D,中国,大地时代发行 中影 金逸影视...,30400000,416000,5450000,19000000,13600000
665139,绿野仙踪之奥兹国奇幻之旅,动画 冒险,92,2017/7/21,0,3D 2D,俄罗斯,中影,9050000,,2120000,6310000,4190000
663032,S的秘密,喜剧 爱情,84,2017/7/20,0,2D,中国,乐从和影业 华夏,4580000,,1310000,3680000,1600000
641515,战狼2,动作 战争 军事,123,2017/7/27,1,3D IMAX 2D,中国,北京文化 影联传媒 启泰远洋...,5680000000,351000,102000000,997000000,680000000
642415,建军大业,战争 军事 革命 剧情,133,2017/7/27,0,IMAX 2D,中国/中国香港,中影 霍尔果斯博纳 浙江博纳影视,403000000,203000,38000000,203000000,110000000
629490,大耳朵图图之美食狂想曲,动画 喜剧 冒险,91,2017/7/28,0,2D,中国,民新影视 上影发行 星云天地...,43000000,4080000,3960000,17400000,13400000
639117,豆福传,动画,82,2017/7/28,0,3D 2D,中国,微影时代 娱跃影业 友梦文化...,15900000,40000,4240000,12300000,8030000
629924,三生三世十里桃花,爱情 古装 玄幻,109,2017/8/3,0,3D IMAX 2D,中国,青春光线 华夏,535000000,1000,170000000,428000000,150000000
654333,龙之战,战争 动作,112,2017/8/4,0,2D,中国,一九零五网络 寰宇纵横世纪发行 1905影业,65300000,23000,3230000,10600000,7370000
640824,玩偶奇兵,动画 奇幻 冒险,88,2017/8/4,0,3D 2D,中国,北京亚细亚 橙欢映画（,31700000,746000,3410000,11800000,8380000
627917,我是马布里,剧情 运动,110,2017/8/4,0,2D,中国/美国,华谊兄弟电影发行 华影天下（天津） 淘票票...,8900000,272000,2420000,5650000,3090000
638804,谁是球王,喜剧 运动 励志,98,2017/8/3,0,2D,中国,全盛世纪 北京正泓文化有限责任公司,993000,108000,516000,690000,74000
642572,大象林旺之一炮成名,动画 战争,77,2017/8/4,0,2D,中国,环鹰时代,3360000,12000,784000,1800000,1010000
642781,心理罪,动作 悬疑,110,2017/8/11,0,2D,中国,霍尔果斯乐视影业 五洲电影 万达影视,304000000,2930000,63800000,164000000,98200000
641537,地球：神奇的一天,纪录片,89,2017/8/11,0,2D,中国/英国,尚世影业,47800000,528000,1330000,10600000,9260000
655595,侠盗联盟,动作 冒险,108,2017/8/11,0,IMAX 2D,中国/中国香港,引力影视国际 阿里巴巴影业 淘票票...,237000000,1480000,54400000,150000000,93700000
628130,鲛珠传,奇幻 动作 爱情 玄幻,108,2017/8/11,0,3D IMAX,中国,上影发行 四海电影 五洲电影...,114000000,1090000,36700000,83500000,46000000
642681,二十二,纪录片 剧情,95,2017/8/14,0,2D,中国,润智影业,170000000,705000,3360000,124000000,42400000
644896,杀破狼·贪狼,动作 警匪,101,2017/8/17,0,2D,中国/中国香港,霍尔果斯博纳 华夏,522000000,1950000,63100000,279000000,151000000
652849,破·局,动作 剧情 犯罪,112,2017/8/17,0,2D,中国,猫眼文化 华夏,64500000,1360000,15600000,44000000,18300000
655319,十万个冷笑话2,动画 喜剧,101,2017/8/18,1,2D,中国,五洲电影 万达影业（青岛） 上海炫动...,134000000,2940000,17400000,55800000,37800000
658090,赛尔号大电影6：圣者无敌,动画 冒险 喜剧,97,2017/8/18,1,2D,中国,上影发行 华夏,103000000,13000000,14400000,50100000,35700000
659752,赛车总动员3：极速挑战,动画 喜剧 冒险,109,2017/8/25,1,3D IMAX 2D,美国,中影 华夏,137000000,87000,19900000,72100000,52100000
642197,星际特工：千星之城,科幻 动作 冒险,137,2017/8/25,0,3D IMAX,法国,中影 基美影业,409000000,2270000,59900000,193000000,132000000
661852,极盗车神,动作 犯罪,109,2017/8/25,0,2D,美国/英国,中影 华夏,109000000,959000,24900000,64800000,38900000
666143,二次初恋,爱情 奇幻 喜剧,98,2017/8/31,0,2D,中国,星烁时代 华夏 乐华圆娱...,26100000,9190000,3290000,21700000,6120000
654309,敦刻尔克,战争 剧情,107,2017/9/1,0,IMAX 2D,美国/英国/法国/荷兰,中影 华夏,340000000,3090000,57500000,198000000,138000000
664926,银魂,喜剧 科幻 动作 剧情,130,2017/9/1,0,2D,日本,华夏,81400000,777000,22500000,61000000,37700000
661850,黑白迷宫,动作 警匪 剧情,99,2017/9/1,0,2D,中国/中国香港,爱奇艺影业（上海） 华夏,33100000,4840000,7410000,23100000,10900000
657831,蜘蛛侠：英雄归来,动作 科幻 冒险 奇幻,133,2017/9/8,1,3D IMAX,美国,中影 华夏,774000000,9890000,135000000,462000000,318000000
656273,声之形,动画 爱情 友情,111,2017/9/8,0,2D,日本,中影,44500000,145000,9500000,33100000,23500000
6348,失业生,剧情 青春 爱情,91,2017/9/8,0,2D,中国香港,福建恒业 星光联盟影业,6100000,28000,1650000,4220000,2560000
668762,怪物岛,动画 冒险,81,2017/9/9,0,2D,墨西哥,中影,4830000,21000,1970000,3700000,3690000
665947,看不见的客人,惊悚 悬疑,106,2017/9/15,0,2D,西班牙,中影,172000000,99000,7020000,32600000,25600000
659452,猩球崛起3：终极之战,动作 科幻 冒险,140,2017/9/15,1,3D IMAX,美国,中影 华夏,740000000,9340000,124000000,403000000,270000000
661362,刀剑神域：序列之争,动画 动作 冒险,122,2017/9/15,0,2D,日本,中影,53900000,355000,11900000,40700000,28500000
644330,会痛的十七岁,爱情 青春,91,2017/9/15,0,2D,中国,大地时代发行 横店影视 北京金逸嘉逸电影发行有限公司,7650000,12000,2750000,6140000,3380000
644444,托马斯大电影之了不起的比赛,动画 儿童 友情,81,2017/9/22,0,2D,英国,华夏,21400000,,1070000,11100000,10100000
668639,王牌保镖,喜剧 动作 冒险,110,2017/9/22,0,2D,中国/美国/荷兰/保加利亚,中影,140000000,362000,26200000,90200000,63700000
666713,捍卫者,战争,101,2017/9/22,0,2D,中国,大地时代发行 爱微笑 猎海影视,10300000,40000,839000,3820000,2960000
665140,惊天解密,动作 惊悚,99,2017/9/22,0,2D,英国,华夏,3860000,3000,851000,2490000,1630000
660009,缝纫机乐队,喜剧 剧情 音乐,117,2017/9/29,0,2D,中国,青春光线 光线传媒,457000000,4350000,37800000,75300000,36700000
652615,空天猎,动作 战争 军事,115,2017/9/29,0,2D,中国,华夏 春秋时代（霍尔果斯） 伊犁卓然影业,318000000,643000,31600000,86500000,54800000
661004,羞羞的铁拳,喜剧 运动,100,2017/9/30,0,IMAX 2D,中国,猫眼文化 华夏 四海电影...,2200000000,476000,133000000,310000000,310000000
658278,追龙,动作 犯罪,128,2017/9/30,0,2D,中国/中国香港,霍尔果斯博纳 华夏,575000000,1580000,40500000,95000000,93500000
661432,英伦对决,动作 犯罪,116,2017/9/30,0,3D IMAX 2D,中国/英国,五洲电影 耀莱影视 淘票票,537000000,3090000,72600000,147000000,144000000
661854,极致追击,动作 悬疑 犯罪,95,2017/9/30,0,3D,中国,中影 熙颐影业 大地时代发行,17500000,194000,6260000,10200000,10000000
618949,昆塔：反转星球,动画 科幻 冒险,94,2017/10/1,0,3D 2D,中国,银河文化 微影时代 娱跃影业...,50400000,7420000,7950000,8010000,7950000
617390,钢铁飞龙之再见奥特曼,动画 科幻 动作,89,2017/10/1,0,3D 2D,中国,乐视影业,40700000,83000,9390000,9400000,9400000
662620,那一场呼啸而过的青春,爱情,112,2017/10/5,0,2D,中国,乐视影业 北京金逸嘉逸电影发行有限公司  横店影视...,8770000,1520000,4760000,7330000,1080000
642177,怨灵2,惊悚 恐怖,89,2017/10/12,1,2D,中国,霍尔果斯众合千澄影业,11400000,35000,1740000,6020000,2860000
669716,十八洞村,剧情 农村,124,2017/10/13,0,2D,中国,华夏,107000000,6000,12800000,33700000,20900000
667490,天才枪手,剧情 犯罪 悬疑 青春,130,2017/10/13,0,IMAX 2D,泰国,华夏,271000000,361000,30800000,114000000,82500000
